id,name,link,price,city,date,seller_name
6448601,Eladó HP Thunderbolt Dock 120W G2 HSN-IX01 dokkoló + HP TPN-LA10 230W-os gyári töltő!,https://hardverapro.hu/apro/elado_hp_thunderbolt_dock_120w_g2_hsn-ix01_dokkolo/hsz_1-50.html,44 990 Ft,"XIV. kerület, ...", 2024-02-21 15:48,gabi123
6504529,"LENOVO IDEAPAD GAMING 3 16ARH7 SZÜRKE ,HASZNÁLT GAMER LAPTOP (16"" WUXGA/RYZEN5/16GB/512 GB SSD/RTX30",https://hardverapro.hu/apro/lenovo_ideapad_gaming_3_16arh7_szurke_hasznalt_gam/hsz_1-50.html,229 000 Ft,Keszthely, 2024-04-03 13:48,a.sebi
6288167,"ASUS VivoBook S14 M3402Q OLED - Ryzen 5 5600H, 14, 512 GB, 16GB, Radeon Graphics",https://hardverapro.hu/apro/asus_vivobook_s14_m3402q_oled_ryzen_5_5600h_14_512/hsz_1-50.html,199 900 Ft,Dunaharaszti, 2023-11-03 12:48,knorbi84
6516235,FullHD Core I7-es Masszív fémházas Fujitsu Lifebook U748 8x4Ghz 16GB DDR4 512Gb M.2 SSD ultrabook,https://hardverapro.hu/apro/fullhd_core_i7-es_massziv_femhazas_fujitsu_lifeboo/hsz_1-50.html,79 999 Ft,"Budapest, ...", 2024-04-12 21:56,univerzum78
6518010,Új! Kyndryl logós laptop hátizsák,https://hardverapro.hu/apro/uj_kyndryl_logos_laptop_hatizsak/hsz_1-50.html,10 000 Ft,Székesfehérvár, 2024-04-14 15:34,𝐉𝐚𝐬𝐨𝐧𝐗
6502898,"Lenovo ThinkPad X1 Carbon Gen 9 (i7 1165G7, 16 GB RAM, 500 GB SSD, garancia)",https://hardverapro.hu/apro/lenovo_x1_carbon_gen_9_i7_1165g7_16_gb_ram_500_gb/hsz_1-50.html,300 000 Ft,Budapest, 2024-04-02 11:37,fronde
6494353,"Eladó alig használt Dell Precision 3480, 0%-os számlával, gyári garanciával!",https://hardverapro.hu/apro/elado_alig_hasznalt_dell_precision_3480_0_os_szaml/hsz_1-50.html,360 000 Ft,VIII. kerület, 2024-03-25 20:47,somasz
6495531,"Új Lenovo Thinkpad L14 Gen 3, Intel Core i5 1235U, 16GB RAM, 512GB SSD, Win11Pro, Garancia 2026/10",https://hardverapro.hu/apro/uj_lenovo_thinkpad_l14_gen_3_intel_core_i5_1235u_1/hsz_1-50.html,250 000 Ft,Budapest, 2024-03-26 17:56,lucsikbe
6405060,Bontott notebook alkatrészek,https://hardverapro.hu/apro/bontott_notebook_alkatreszek_2/hsz_1-50.html,3 000 Ft,Kaposvár, 2024-01-23 12:21,elekesb
6538618,"Lenovo ThinkPad T14s Gen 1 - i7-10510U, 16GB, 256GB - Garancia",https://hardverapro.hu/apro/lenovo_thinkpad_t14s_gen_1_i7-10510u_16gb_256gb_ga/hsz_1-50.html,130 000 Ft,Érd, 2024-04-30 14:36,kovnorbi
